Strain : Axial Gauge Length (Strain Source),2,in,
Strain : Time at Removal (Strain Source),,ms,
,,,
Time,Extension,Load,Strain 1
(sec),(in),(lbf),(%)
32.1,0.0535,"4,295.80",0.21163
32.2,0.05366,"4,318.34",0.21275
32.3,0.05383,"4,342.23",0.21402
32.4,0.054,"4,365.30",0.21522
32.5,0.05417,"4,388.40",0.21639
32.6,0.05433,"4,411.56",0.21751
32.7,0.05449,"4,434.07",0.21865
32.8,0.05467,"4,458.43",0.21982
32.9,0.05483,"4,480.95",0.22088
33,0.055,"4,504.69",0.22212
33.1,0.05516,"4,528.09",0.22318
33.2,0.05533,"4,550.52",0.22424
33.3,0.05549,"4,574.29",0.22542
33.4,0.05566,"4,597.31",0.22658
33.5,0.05583,"4,621.33",0.22767
33.6,0.056,"4,645.07",0.22881
33.7,0.05616,"4,667.88",0.2299
33.8,0.05633,"4,691.40",0.23105
33.9,0.05649,"4,714.37",0.23218
34,0.05667,"4,738.51",0.23346
34.1,0.05683,"4,762.24",0.23463
34.2,0.057,"4,785.72",0.23575
34.3,0.05716,"4,809.43",0.23695
34.4,0.05733,"4,832.50",0.2381
34.5,0.0575,"4,856.73",0.23936
34.6,0.05766,"4,880.11",0.24043
34.7,0.05783,"4,903.90",0.24176
34.8,0.058,"4,928.11",0.24291
34.9,0.05816,"4,950.83",0.24398
35,0.05833,"4,975.85",0.24526
35.1,0.05849,"4,999.35",0.24647
35.2,0.05866,"5,023.27",0.2476
35.3,0.05883,"5,048.14",0.2488
35.4,0.059,"5,071.11",0.24998
35.5,0.05916,"5,095.50",0.25119
35.6,0.05933,"5,118.94",0.2523
35.7,0.0595,"5,143.41",0.25354
35.8,0.05967,"5,167.91",0.25478
35.9,0.05983,"5,191.45",0.25589
36,0.06,"5,215.42",0.2571
36.1,0.06016,"5,238.75",0.25831
36.2,0.06033,"5,263.46",0.25951
36.3,0.0605,"5,288.33",0.26065
36.4,0.06066,"5,312.29",0.26186
36.5,0.06083,"5,336.84",0.26303
36.6,0.06099,"5,359.68",0.26413
36.7,0.06116,"5,384.05",0.26528
36.8,0.06133,"5,408.87",0.26649
36.9,0.0615,"5,433.09",0.26761
37,0.06167,"5,458.57",0.26886
37.1,0.06183,"5,481.99",0.27007
37.2,0.062,"5,506.30",0.27123
37.3,0.06216,"5,530.99",0.27244
37.4,0.06233,"5,555.36",0.27368
37.5,0.0625,"5,580.73",0.27499
37.6,0.06266,"5,604.67",0.27619
37.7,0.06283,"5,628.92",0.2774
37.8,0.06299,"5,652.85",0.27862
37.9,0.06316,"5,677.50",0.27977
38,0.06333,"5,703.21",0.28114
38.1,0.0635,"5,727.45",0.28218
38.2,0.06367,"5,752.24",0.28342
38.3,0.06383,"5,775.82",0.28452
38.4,0.06399,"5,799.82",0.28567
38.5,0.06416,"5,825.19",0.28693
38.6,0.06433,"5,849.81",0.28802
38.7,0.0645,"5,875.62",0.28928
38.8,0.06466,"5,899.32",0.29047
38.9,0.06483,"5,923.78",0.29159
39,0.06499,"5,948.73",0.2928
39.1,0.06516,"5,973.44",0.29406
39.2,0.06534,"5,999.39",0.29534
39.3,0.0655,"6,023.55",0.29654
39.4,0.06566,"6,048.06",0.29783
39.5,0.06583,"6,073.60",0.29911
39.6,0.06599,"6,097.68",0.30026
39.7,0.06616,"6,124.17",0.30159
39.8,0.06633,"6,148.65",0.30279
39.9,0.0665,"6,173.57",0.30389
40,0.06666,"6,198.87",0.30519
40.1,0.06683,"6,223.07",0.3063
40.2,0.067,"6,249.62",0.30761
40.3,0.06716,"6,274.58",0.30876
40.4,0.06733,"6,299.65",0.31001
40.5,0.0675,"6,324.75",0.31124
40.6,0.06766,"6,349.51",0.31235
40.7,0.06783,"6,375.31",0.31364
40.8,0.068,"6,400.24",0.31496
40.9,0.06817,"6,426.06",0.31623
41,0.06833,"6,451.04",0.31752
41.1,0.06849,"6,475.68",0.31867
41.2,0.06866,"6,501.12",0.31997
41.3,0.06883,"6,526.20",0.32121
41.4,0.069,"6,552.20",0.32249
41.5,0.06916,"6,578.17",0.32371
41.6,0.06933,"6,602.75",0.32493
41.7,0.06949,"6,628.54",0.32619
41.8,0.06966,"6,653.40",0.32745
41.9,0.06983,"6,679.96",0.32875
42,0.07,"6,705.73",0.33001
42.1,0.07017,"6,730.84",0.33121
42.2,0.07033,"6,756.78",0.33258
42.3,0.0705,"6,781.31",0.33384
42.4,0.07066,"6,807.28",0.3351
42.5,0.07083,"6,832.72",0.33646
42.6,0.071,"6,858.17",0.3377
42.7,0.07116,"6,883.83",0.33911
42.8,0.07133,"6,908.94",0.34032
42.9,0.0715,"6,934.82",0.34165
43,0.07166,"6,959.57",0.34296
43.1,0.07183,"6,985.57",0.34419
43.2,0.072,"7,011.63",0.3455
43.3,0.07216,"7,036.67",0.34681
43.4,0.07233,"7,062.41",0.34814
43.5,0.07249,"7,087.14",0.34934
43.6,0.07266,"7,113.22",0.35066
43.7,0.07283,"7,139.33",0.35203
43.8,0.07299,"7,164.65",0.35333
43.9,0.07316,"7,190.26",0.35461
44,0.07333,"7,215.40",0.35592
44.1,0.0735,"7,240.66",0.3572
44.2,0.07366,"7,267.37",0.3585
44.3,0.07383,"7,292.74",0.35985
44.4,0.074,"7,318.67",0.36115
44.5,0.07416,"7,343.60",0.36255
44.6,0.07433,"7,369.09",0.36382
44.7,0.07449,"7,394.47",0.36512
44.8,0.07466,"7,420.30",0.36648
44.9,0.07483,"7,446.57",0.36778
45,0.07499,"7,471.14",0.36902
45.1,0.07516,"7,497.32",0.37035
45.2,0.07533,"7,522.13",0.37157
45.3,0.07549,"7,547.65",0.37287
45.4,0.07567,"7,574.26",0.37424
45.5,0.07583,"7,599.13",0.37555
45.6,0.076,"7,624.88",0.3769
45.7,0.07616,"7,650.13",0.37827
45.8,0.07633,"7,675.37",0.37947
45.9,0.0765,"7,701.95",0.38088
46,0.07666,"7,727.49",0.38232
46.1,0.07683,"7,752.49",0.38365
46.2,0.07699,"7,777.64",0.38503
46.3,0.07716,"7,802.51",0.38643
46.4,0.07733,"7,829.00",0.38766
46.5,0.0775,"7,854.81",0.38902
46.6,0.07767,"7,880.95",0.39039
46.7,0.07783,"7,905.48",0.39166
46.8,0.07799,"7,930.73",0.39297
46.9,0.07816,"7,956.41",0.39436
47,0.07833,"7,981.79",0.39574
47.1,0.0785,"8,008.48",0.3971
47.2,0.07866,"8,032.73",0.39861
47.3,0.07883,"8,058.04",0.39994
47.4,0.07899,"8,082.68",0.40128
47.5,0.07916,"8,107.99",0.40267
47.6,0.07933,"8,134.19",0.40414
47.7,0.0795,"8,159.45",0.40553
47.8,0.07967,"8,184.50",0.40695
47.9,0.07983,"8,209.30",0.40838
48,0.07999,"8,234.03",0.4098
